precinct,year,category,incident_count
10,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,1
10,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,2
10,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,3
10,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,3
10,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,1
10,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
13,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,2
13,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,2
13,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,2
13,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,4
13,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,3
13,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,3
13,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,2
13,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,3
13,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,1
13,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,1
13,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,3
13,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,2
13,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,1
13,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,1
13,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
14,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,7
14,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,4
14,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,8
14,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,4
14,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,2
14,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,1
14,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,1
14,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,2
14,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,1
14,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
14,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,0
14,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,2
14,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,1
14,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,2
14,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,1
17,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,1
17,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,1
